Grenada,-2461,-1597,-809,-369,-190,0,-85
Greenland,-19,-173,-448,-505,-348,-150,-62
Guatemala,-42349,-28843,-39890,-49600,-48162,-23142,-29118
Guam,-592,-114,-829,-2333,-1852,-244,-244
Guyana,-10226,-21225,-13242,-13000,-6524,802,-4316
High income,1441779,1536738,2520532,4278040,3930907,788160,2122893
"Hong Kong SAR, China",48467,26327,30241,75,13061,0,0
Honduras,-9655,-13739,-14711,-6187,-6512,-6199,-5779
Heavily indebted poor countries (HIPC),-85640,-615495,-159930,-342704,-589781,60641,-537784
Croatia,-6653,15822,-52246,-3834,-13408,-11592,-10402
Haiti,-18691,-24908,-27130,-26304,-32698,-33872,-32977
Hungary,1861,-16765,16934,16615,14166,9042,19870
IBRD only,-600509,-844418,-1997117,-1974957,1000168,-200387,-816651
IDA & IBRD total,-1388992,-1588324,-2711164,-4388235,-3920933,-689611,-2014815
IDA total,-788483,-743906,-714047,-2413278,-4921101,-489224,-1198164
IDA blend,-32731,207415,189426,-829687,-2459914,-694545,-677855
Indonesia,56388,37447,-1651,-102380,-37991,-24999,-14992
IDA only,-755752,-951321,-903473,-1583591,-2461187,205321,-520309
Isle of Man,999,159,469,684,-231,235,517
India,-225989,-112781,-57139,-550186,-475094,-34772,-301970
Not classified,,,,,,,
Ireland,14124,-15690,10186,64192,13130,15320,15320
"Iran, Islamic Rep.",76834,82961,-120114,323987,628310,-156669,28080
Iraq,-6237,-199505,40424,51019,-19490,71539,-60097
Iceland,-367,-628,-1413,3918,1477,2573,622
Israel,6973,34721,50609,13756,12049,16569,16856
Italy,46976,-19940,28851,250910,34031,28021,28021
Jamaica,-18344,-22369,-20084,-18072,-11329,0,-5664
Jordan,-14822,28040,27992,3500,490844,18092,14374
Japan,22942,-8228,38572,153248,150215,87584,87584
Kazakhstan,-12192,4937,-412725,22958,-12253,-12432,-18917
Kenya,-71454,-35416,-75544,5496,-95981,-17106,-52549
Kyrgyz Republic,-7649,-32108,-17460,-27130,-29468,-14307,-16510
Cambodia,-47734,1557,-8706,-11435,-52272,-22308,-24262
Kiribati,-1727,-365,-847,-226,-853,-296,-296
St. Kitts and Nevis,-929,-894,143,-222,-191,-191,-90
"Korea, Rep.",-37366,82082,-230292,-36504,266322,0,43440
Kuwait,30911,25773,1693,68878,259114,-254177,-36843
Latin America & Caribbean (excluding high income),-468359,-846012,-778168,-981496,-339557,261813,141522
Lao PDR,-13881,-1388,-14290,-24171,-12995,-10303,-10303
Lebanon,0,-1108,2634,1224,-223722,-115146,-115122
Liberia,2038,7482,54372,101019,-15195,-10119,-11862
Libya,43437,11961,-5066,41035,-7660,-696,-696
St. Lucia,-1464,-1381,-1071,-88,0,0,0
Latin America & Caribbean,-536851,-927596,-812708,-1043018,-424043,-163087,-273494
Least developed countries: UN classification,-691554,-599206,-684906,-1249137,-1333824,96673,-521774
Low income,-127358,-448788,115791,126174,-1696194,272582,-343175
Liechtenstein,254,268,288,141,141,189,231
Sri Lanka,-37505,-53596,-73695,-36955,-98598,-92400,-92400
Lower middle income,-769431,-474255,-1328757,-3261450,-2966056,-1135079,-1371123
