Poland,-28852,-12963,-48065,-21324,-25426,-779,-2968
Puerto Rico,-383,-13613,-8680,-33430,-64764,-7408,-7408
"Korea, Dem. People's Rep.",0,0,-3093,-2860,-3200,-1589,-1589
Portugal,43650,-16080,30130,17155,-10124,40535,27295
Post-demographic dividend,1188325,1271571,2554376,3276194,3241249,2267432,2195799
Qatar,10070,8632,4893,106609,178133,-163999,-30801
Romania,58626,-29179,-75823,-129933,-49612,-12724,-12724
Saudi Arabia,132741,163926,27095,481349,60337,-1025295,-153883
Sudan,105500,-207483,-71692,-10644,49080,86,-15223
Singapore,1104,31389,67448,80422,40958,21324,19321
Sierra Leone,-13058,-7873,-112857,-1805,-356,1292,-1544
El Salvador,-26198,-29111,-89307,-91042,-51282,-25214,-27343
Somalia,-1934,62183,65888,-5955,-17178,-11383,-17071
Syrian Arab Republic,-21100,-12623,-13569,13431,-827474,270006,212187
Togo,-16973,1242,57406,-4438,-1985,-995,-995
Thailand,66197,147244,102011,70281,32595,35526,1133
Tunisia,-8762,5148,-10177,-29303,-25230,-9189,-9189
Turkiye,-193902,8961,-81045,-23548,341261,-80952,-69729
Uganda,-47415,-42995,-242445,-151432,-62377,43465,43465
Ukraine,36779,-23788,-124586,-4936,-21937,-2173,831
Uruguay,-14348,-8838,-8333,-16092,-4156,-1486,-1486
United States,832170,759118,1678815,1129462,1221849,675560,561580
Uzbekistan,37609,-19965,-45888,-33395,-20380,-39203,-39201
"Venezuela, RB",195,243,-633,-18400,-77421,-525142,-525116
British Virgin Islands,-46,285,253,658,302,272,128
Vietnam,-2117,-56107,43672,-144080,-4761,-2016,-992
Kosovo,-3476,-4742,-775,-33861,-14819,-15050,-15050
South Africa,38750,123316,-98300,31424,644996,30852,10934
Zimbabwe,-29003,1785,-32961,-164732,-59918,-29955,-25005
