2830,961,4225,6190,11373,6952,6949,Luxembourg,-7.3362482,31.1728205
11464,5557,-20017,-17620,-11163,-7381,-6815,Latvia,7.4276832,43.7323492
-52014,-56186,-97336,-58941,-81202,-33807,-46242,Morocco,28.5670941,47.2879608
504,500,290,-137,1019,206,206,Monaco,46.4416422,-18.9249604
2779,-6410,-25033,-51269,-59404,-14278,-14278,Moldova,73.2244152,3.7203503
-5174,-1956,485,485,485,-742,-742,Madagascar,-102.0077097,23.6585116
-140,-472,-518,195,12526,1134,1189,Maldives,-2.2900239,16.3700359
-113208,-588611,-313979,-318048,-82173,-9949,-52649,Mexico,95.9999652,17.1750495
-26632,-63524,-67932,-17436,-48947,-14978,-22236,Mali,19.5180992,42.9868853
-52795,6076,-75127,-185133,-94128,-66228,-35382,Myanmar,103.8499736,46.8250388
-784,-3155,-3124,-1986,-1943,-1326,-101,Montenegro,34.9144977,-19.302233
5435,-793,-8617,-8663,3932,0,0,Mongolia,-9.2399263,20.2540382
64299,-39678,72493,-52323,30414,11745,-9515,Mozambique,57.5703566,-20.2759451
-1477,-2998,-22996,-18723,-3018,-1494,-1494,Mauritania,102.2656823,4.5693754
-3210,807,-1305,-3221,-2747,-478,-478,Mauritius,17.3231107,-23.2335499
-15218,50994,94297,245376,80603,57483,46165,Malaysia,165.4880773,-21.3019905
-553,2090,5712,-8195,-8596,-4301,-4301,Namibia,7.9999721,9.6000359
1579,48,1072,83,-2230,-1182,-1182,New Caledonia,-85.2936911,12.6090157
75448,19791,43504,-46749,-145917,-4824,-76364,Nigeria,5.6343227,52.2434979
-9349,-23848,-25888,-33283,-24359,-10384,-10384,Nicaragua,8.7876653,61.1529386
32971,19149,38760,13610,57677,58816,57439,Netherlands,172.8344077,-41.5000831
3311,6558,6522,18467,30329,10756,10604,Norway,57.0036901,21.0000287
12858,-13674,26133,19148,47165,38220,38220,New Zealand,71.247499,30.3308401
5632,33818,-15515,-630,134260,-164408,-20664,Oman,-75.0458515,-6.8699697
-3437,282435,296208,-632467,-2172159,-588736,-471395,Pakistan,122.7312101,12.7503486
-34423,-23587,-46443,-221582,2462,79456,68012,Peru,19.134422,52.215933
-191812,-185754,-143386,-223074,6954,-41937,-80125,Philippines,-66.4858295,18.2247706
-28852,-12963,-48065,-21324,-25426,-779,-2968,Poland,-8.1353519,39.6621648
-383,-13613,-8680,-33430,-64764,-7408,-7408,Puerto Rico,51.2295295,25.3336984
0,0,-3093,-2860,-3200,-1589,-1589,"Korea, Dem. People's Rep.",,
43650,-16080,30130,17155,-10124,40535,27295,Portugal,,
1188325,1271571,2554376,3276194,3241249,2267432,2195799,Post-demographic dividend,,
10070,8632,4893,106609,178133,-163999,-30801,Qatar,,
58626,-29179,-75823,-129933,-49612,-12724,-12724,Romania,,
132741,163926,27095,481349,60337,-1025295,-153883,Saudi Arabia,,
105500,-207483,-71692,-10644,49080,86,-15223,Sudan,,
1104,31389,67448,80422,40958,21324,19321,Singapore,,
-13058,-7873,-112857,-1805,-356,1292,-1544,Sierra Leone,,
-26198,-29111,-89307,-91042,-51282,-25214,-27343,El Salvador,,
-1934,62183,65888,-5955,-17178,-11383,-17071,Somalia,,
-21100,-12623,-13569,13431,-827474,270006,212187,Syrian Arab Republic,,
-16973,1242,57406,-4438,-1985,-995,-995,Togo,,
66197,147244,102011,70281,32595,35526,1133,Thailand,,
-8762,5148,-10177,-29303,-25230,-9189,-9189,Tunisia,,
-193902,8961,-81045,-23548,341261,-80952,-69729,Turkiye,,
-47415,-42995,-242445,-151432,-62377,43465,43465,Uganda,,
36779,-23788,-124586,-4936,-21937,-2173,831,Ukraine,,
-14348,-8838,-8333,-16092,-4156,-1486,-1486,Uruguay,,
832170,759118,1678815,1129462,1221849,675560,561580,United States,,
37609,-19965,-45888,-33395,-20380,-39203,-39201,Uzbekistan,,
195,243,-633,-18400,-77421,-525142,-525116,"Venezuela, RB",,
-46,285,253,658,302,272,128,British Virgin Islands,,
-2117,-56107,43672,-144080,-4761,-2016,-992,Vietnam,,
-3476,-4742,-775,-33861,-14819,-15050,-15050,Kosovo,,
38750,123316,-98300,31424,644996,30852,10934,South Africa,,
-29003,1785,-32961,-164732,-59918,-29955,-25005,Zimbabwe,,
